,RK,Name,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG,Team
129,130,Brock Vandagriff,QB,15,28,53.6,199,7.1,46,3,2,4,134.3,UK
130,131,Parker Awad,QB,14,39,35.9,195,5.0,64,2,1,6,89.7,NMSU
131,132,Ben Finley,QB,22,45,48.9,191,4.2,32,1,2,4,83.0,AKR
132,132,General Booty,QB,19,30,63.3,191,6.4,31,1,0,2,127.8,ULM
133,134,Evan Svoboda,QB,16,39,41.0,168,4.3,38,1,2,7,75.4,WYO
134,135,Eddie Lee Marburger,QB,14,27,51.9,147,5.4,40,1,1,0,102.4,UTSA
135,136,Spencer Petras,QB,10,15,66.7,145,9.7,57,1,2,0,143.2,USU
136,137,Braylon Braxton,QB,7,11,63.6,141,12.8,67,2,0,0,231.3,MRSH
137,138,Deshawn Purdie,QB,9,19,47.4,134,7.1,42,2,0,1,141.4,CLT
138,139,Austin Simmons,QB,9,20,45.0,131,6.6,35,1,0,1,116.5,MISS
139,140,John Busha,QB,13,34,38.2,125,3.7,22,0,2,0,57.3,AFA
140,141,Malachi Singleton,QB,8,10,80.0,120,12.0,28,0,0,0,180.8,ARK
141,142,Drew Pyne,QB,16,17,94.1,117,6.9,20,0,0,0,151.9,MIZ
142,143,Matthew Caldwell,QB,11,19,57.9,113,5.9,33,0,0,1,107.8,TROY
143,144,Tayven Jackson,QB,3,3,100.0,104,34.7,69,1,0,0,501.2,IU
144,144,Isaac Wilson,QB,11,20,55.0,104,5.2,20,1,2,2,95.2,UTAH
145,146,Elijah Brown,QB,7,7,100.0,97,13.9,51,1,0,0,263.5,STAN
146,147,Hank Brown,QB,3,5,60.0,96,19.2,57,2,0,0,353.3,AUB
147,148,Arch Manning,QB,5,6,83.3,95,15.8,40,1,0,0,271.3,TEX
148,149,Graham Mertz,QB,11,20,55.0,91,4.6,19,0,1,3,83.2,FLA
149,150,Gunner Stockton,QB,10,12,83.3,90,7.5,21,0,0,1,146.3,UGA
150,151,Demond Williams Jr.,QB,6,8,75.0,83,10.4,36,1,0,0,203.4,WASH
151,152,Tahj Bullock,QB,12,16,75.0,81,5.1,29,0,0,3,117.5,AKR
152,153,Bryson Daily,QB,4,10,40.0,79,7.9,44,1,0,0,139.4,ARMY
153,154,Christopher Vizzina,QB,7,11,63.6,78,7.1,25,0,0,0,123.2,CLEM
154,155,John Alan Richter,QB,6,6,100.0,77,12.8,27,1,0,0,262.8,TOL
155,156,Tyler Jefferson,QB,6,9,66.7,75,8.3,24,0,0,0,136.7,CMU
156,157,Ui Ale,QB,7,8,87.5,74,9.3,23,1,0,0,206.4,HOU
157,158,Jase Bauer,QB,7,10,70.0,73,7.3,22,1,0,0,164.3,SHSU
158,158,Nick Evers,QB,6,17,35.3,73,4.3,37,0,1,0,59.6,CONN
159,160,Max Johnson,QB,12,19,63.2,71,3.7,13,0,1,2,84.0,UNC
160,160,Marcel ReedTA&M,QB,5,11,45.5,71,6.5,31,0,0,0,99.7,
161,162,Jack Turner,QB,4,8,50.0,70,8.8,28,1,1,1,139.8,LT
162,163,Gaston Moore,QB,7,12,58.3,69,5.8,13,0,1,0,90.0,TENN
163,164,Sawyer Robertson,QB,3,5,60.0,67,13.4,30,1,0,0,238.6,BAY
164,165,Jayden Maiava,QB,8,11,72.7,66,6.0,22,0,0,0,123.1,USC
165,165,Ty Simpson,QB,5,9,55.6,66,7.3,20,0,0,0,117.2,ALA
166,167,Braxton Woodson,QB,3,7,42.9,65,9.3,39,1,1,0,139.4,NAVY
167,168,Noah Smith,WR,1,1,100.0,64,64.0,64,1,0,0,967.6,SHSU
168,169,Harrison Bailey,QB,8,8,100.0,63,7.9,19,0,0,0,166.1,LOU
169,169,Chandler Fields,QB,6,7,85.7,63,9.0,22,0,0,0,161.3,UL
170,169,Devin Brown,QB,6,8,75.0,63,7.9,27,0,0,2,141.1,OSU
171,172,Ryan Browne,QB,6,10,60.0,62,6.2,16,0,0,1,112.1,PUR
172,173,Logan Smothers,QB,7,13,53.8,61,4.7,17,0,0,2,93.3,JVST
173,173,Zevi Eckhaus,QB,6,7,85.7,61,8.7,33,1,0,0,206.1,WSU
174,173,Julian Sayin,QB,2,2,100.0,61,30.5,55,1,0,0,521.2,OSU
175,176,Ethan Crawford,QB,1,1,100.0,59,59.0,59,0,0,0,595.6,USM
176,176,KJ Jackson,QB,4,4,100.0,59,14.8,18,0,0,0,223.9,ARK
177,178,Michael Kern,QB,5,8,62.5,57,7.1,20,0,0,0,122.3,WAKE
178,178,Cameron Edge,QB,4,6,66.7,57,9.5,24,1,0,0,201.5,MD
179,180,Cole Pennington,QB,4,5,80.0,52,10.4,21,1,0,0,233.4,MRSH
180,181,Cole Ballard,QB,5,6,83.3,51,8.5,22,1,0,0,209.7,KU
