,RK,Name,POS,ATT,YDS,AVG,LNG,TD,Team
772,772,Keelan Marion,WR,1,-2,-2.0,0,0,BYU
773,772,Kevin Concepcion,WR,1,-2,-2.0,0,0,NCSU
774,772,Nazeviah Burris,WR,1,-2,-2.0,0,0,FIU
775,772,Paddy Turner,P,1,-2,-2.0,0,0,CSU
776,772,Forrest Brock,QB,14,-2,-0.1,10,0,TEM
777,778,Josh Hoover,QB,5,-3,-0.6,5,1,TCU
778,778,Conner Harrell,QB,3,-3,-1.0,1,0,UNC
779,778,Mikey Matthews,WR,1,-3,-3.0,0,0,CAL
780,778,Lonnie Adkism,WR,1,-3,-3.0,0,0,SHSU
781,782,Kitan Crawford,S,1,-4,-4.0,0,0,NEV
782,783,Hayden Wolff,QB,4,-5,-1.3,1,0,WMU
783,783,Behren Morton,QB,2,-5,-2.5,3,0,TTU
784,783,Max Brosmer,QB,9,-5,-0.6,9,1,MINN
785,783,Marques Hicks,RB,3,-5,-1.7,0,0,KENT
786,783,Jordan Smith,WR,1,-5,-5.0,0,0,NMSU
787,788,Ja'Shaun Poke,WR,1,-6,-6.0,0,0,SDSU
788,788,Gevani McCoy,QB,1,-6,-6.0,0,0,ORST
789,788,Quinn Ewers,QB,1,-6,-6.0,0,0,TEX
790,788,Junior Sherrill,WR,1,-6,-6.0,0,0,VAN
791,788,Dylan Raiola,QB,1,-6,-6.0,0,0,NEB
792,788,Shay Smith,QB,2,-6,-3.0,0,0,UTEP
793,788,Caleb Ramseur,RB,1,-6,-6.0,0,0,NEV
794,795,Miller Moss,QB,2,-8,-4.0,0,0,USC
795,795,Pierce Clarkson,QB,1,-8,-8.0,0,0,LOU
796,797,Davis Warren,QB,1,-9,-9.0,0,0,MICH
797,798,Tyler Shough,QB,1,-10,-10.0,0,0,LOU
798,798,Katin Houser,QB,1,-10,-10.0,0,0,ECU
799,798,Ismael Cisse,WR,2,-10,-5.0,0,0,STAN
800,800,Keyone Jenkins,QB,10,-11,-1.1,4,0,FIU
801,802,Isaac Pearson,P,0,-13,0.0,0,0,SMU
802,803,E.J. Warner,QB,3,-14,-4.7,1,0,RICE
803,804,Tate Rodemaker,QB,2,-15,-7.5,0,0,USM
804,805,Will Rogers,QB,3,-16,-5.3,4,0,WASH
805,806,Cade Klubnik,QB,4,-17,-4.3,0,0,CLEM
806,807,Brett GabbertM-,QB,5,-21,-4.2,4,0,OH
807,808,Dillon Gabriel,QB,3,-23,-7.7,0,0,ORE
808,809,Donovan Smith,QB,12,-24,-2.0,10,0,HOU
809,810,Mikey Keene,QB,3,-30,-10.0,0,0,FRES
810,810,Devin Kargman,QB,6,-30,-5.0,3,0,KENT
811,810,Evan Svoboda,QB,6,-30,-5.0,7,0,WYO
812,813,Emmett Brown,QB,3,-33,-11.0,0,0,SJSU
