Position,field_pos,team_name,String Order,Player Number,First Name,Last Name,School year
SS,Defense,Army Black Knights,4th String,,,,
FS,Defense,Army Black Knights,4th String,,,,
RCB,Defense,Army Black Knights,4th String,,,,
NB,Defense,Army Black Knights,4th String,,,,
PT,Special Teams,Army Black Knights,4th String,,,,
PK,Special Teams,Army Black Knights,4th String,,,,
KO,Special Teams,Army Black Knights,4th String,,,,
LS,Special Teams,Army Black Knights,4th String,,,,
H,Special Teams,Army Black Knights,4th String,,,,
PR,Special Teams,Army Black Knights,4th String,,,,
KR,Special Teams,Army Black Knights,4th String,,,,
WR,Offense,Army Black Knights,5th String,,,,
LT,Offense,Army Black Knights,5th String,,,,
LG,Offense,Army Black Knights,5th String,,,,
C,Offense,Army Black Knights,5th String,,,,
RG,Offense,Army Black Knights,5th String,,,,
RT,Offense,Army Black Knights,5th String,,,,
TE,Offense,Army Black Knights,5th String,,,,
QB,Offense,Army Black Knights,5th String,,,,
RB-A,Offense,Army Black Knights,5th String,,,,
RB-B,Offense,Army Black Knights,5th String,,,,
SB,Offense,Army Black Knights,5th String,,,,
DE,Defense,Army Black Knights,5th String,,,,
NT,Defense,Army Black Knights,5th String,,,,
DT,Defense,Army Black Knights,5th String,,,,
OLB,Defense,Army Black Knights,5th String,,,,
MLB,Defense,Army Black Knights,5th String,,,,
WLB,Defense,Army Black Knights,5th String,,,,
LCB,Defense,Army Black Knights,5th String,,,,
SS,Defense,Army Black Knights,5th String,,,,
FS,Defense,Army Black Knights,5th String,,,,
RCB,Defense,Army Black Knights,5th String,,,,
NB,Defense,Army Black Knights,5th String,,,,
PT,Special Teams,Army Black Knights,5th String,,,,
PK,Special Teams,Army Black Knights,5th String,,,,
KO,Special Teams,Army Black Knights,5th String,,,,
LS,Special Teams,Army Black Knights,5th String,,,,
H,Special Teams,Army Black Knights,5th String,,,,
PR,Special Teams,Army Black Knights,5th String,,,,
KR,Special Teams,Army Black Knights,5th String,,,,
WR-X,Offense,Charlotte 49ers,1st String,2,Myers,Isaiah,RS SO/TR
WR-Z,Offense,Charlotte 49ers,1st String,8,Brown,Sean,RS SR/TR
WR-SL,Offense,Charlotte 49ers,1st String,3,Mack,Jairus,RS JR
LT,Offense,Charlotte 49ers,1st String,79,Herman,Jordan,RS SO/TR
LG,Offense,Charlotte 49ers,1st String,66,Spasojevic-Moko,Jordan,RS JR/TR
C,Offense,Charlotte 49ers,1st String,52,King,Jonny,RS SR
RG,Offense,Charlotte 49ers,1st String,77,Mayes,Mitchell,SR/TR
RT,Offense,Charlotte 49ers,1st String,53,Stanley,Kendall,RS SO
LTE,Offense,Charlotte 49ers,1st String,81,Clemons,Jake,RS SR
RTE,Offense,Charlotte 49ers,1st String,18,Weber,Colin,RS JR
QB,Offense,Charlotte 49ers,1st String,1,Brown,Max,RS SO/TR
RB,Offense,Charlotte 49ers,1st String,5,Norton,Cartevious,JR/TR
LDE,Defense,Charlotte 49ers,1st String,91,Butler,Dre,GR/TR
NT,Defense,Charlotte 49ers,1st String,23,Jackson,Charlie,RS SR/TR
DT,Defense,Charlotte 49ers,1st String,90,Morgan,Dez,RS SR
RDE,Defense,Charlotte 49ers,1st String,11,Handy,Stone,RS SR/TR
WLB,Defense,Charlotte 49ers,1st String,10,Ekwonu,Ositadinma,RS SR/TR
MLB,Defense,Charlotte 49ers,1st String,25,Wallace-Bemah,Prince,RS SR
SLB,Defense,Charlotte 49ers,1st String,40,Williford,Reid,RS SO
LCB,Defense,Charlotte 49ers,1st String,1,Balfour,Dontae,RS JR/TR
SS,Defense,Charlotte 49ers,1st String,0,Ali,Al-Ma'hi,RS JR/TR
FS,Defense,Charlotte 49ers,1st String,6,Conley,Ja'Qurious,RS JR/TR
RCB,Defense,Charlotte 49ers,1st String,16,Culp,Elijah,RS JR/TR
PT,Special Teams,Charlotte 49ers,1st String,96,O'Shaughnessy,Michael,GR/TR
PK,Special Teams,Charlotte 49ers,1st String,94,Cunanan,Kyle,SO
KO,Special Teams,Charlotte 49ers,1st String,99,Rusnak,Stephen,RS JR/TR
LS,Special Teams,Charlotte 49ers,1st String,54,Booker,Adam,RS SO
H,Special Teams,Charlotte 49ers,1st String,96,O'Shaughnessy,Michael,GR/TR
PR,Special Teams,Charlotte 49ers,1st String,21,Rutledge,Henry,RS JR
KR,Special Teams,Charlotte 49ers,1st String,21,Rutledge,Henry,RS JR
WR-X,Offense,Charlotte 49ers,2nd String,9,Blake,O'Mega,RS JR/TR
WR-Z,Offense,Charlotte 49ers,2nd String,88,Burris,Miles,FR
WR-SL,Offense,Charlotte 49ers,2nd String,4,Olson,Justin,GR/TR
LT,Offense,Charlotte 49ers,2nd String,72,Kelley,Dominick,RS FR
LG,Offense,Charlotte 49ers,2nd String,56,Adair,Andrew,RS JR/TR
C,Offense,Charlotte 49ers,2nd String,76,Bullerdick,Isaiah,RS SO
RG,Offense,Charlotte 49ers,2nd String,65,Brinkley,Boston,RS SO
RT,Offense,Charlotte 49ers,2nd String,74,Gibson,Tyler,RS SO/TR
LTE,Offense,Charlotte 49ers,2nd String,86,Kennon,Bryce,RS SR
RTE,Offense,Charlotte 49ers,2nd String,35,Bearns,"III,",Joey RS JR/TR
