Position,field_pos,team_name,String Order,Player Number,First Name,Last Name,School year
RDE,Defense,North Carolina State Wolfpack,1st String,13,Price,Travali,RS JR
WLB,Defense,North Carolina State Wolfpack,1st String,0,Brown,Sean,RS JR
MLB,Defense,North Carolina State Wolfpack,1st String,10,Fordham,Caden,RS JR
SLB,Defense,North Carolina State Wolfpack,1st String,8,Betty,Devon,GR
LCB,Defense,North Carolina State Wolfpack,1st String,2,Cisse,Brandon,SO
SS,Defense,North Carolina State Wolfpack,1st String,7,Fitzgerald,Bishop,SR/TR
FS,Defense,North Carolina State Wolfpack,1st String,5,Kaufman,DK,SR/TR
RCB,Defense,North Carolina State Wolfpack,1st String,3,White,Aydan,GR
NB,Defense,North Carolina State Wolfpack,1st String,11,Carter,Ja'Had,SR/TR
PT,Special Teams,North Carolina State Wolfpack,1st String,98,Noonkester,Caden,RS JR
PK,Special Teams,North Carolina State Wolfpack,1st String,94,Vinesett,Kanoah,RS SO
KO,Special Teams,North Carolina State Wolfpack,1st String,90,Smith,Collin,GR
LS,Special Teams,North Carolina State Wolfpack,1st String,92,Arias,Aiden,RS FR
H,Special Teams,North Carolina State Wolfpack,1st String,98,Noonkester,Caden,RS JR
PR,Special Teams,North Carolina State Wolfpack,1st String,21,Coit,Jalen,GR
KR,Special Teams,North Carolina State Wolfpack,1st String,20,Smothers,Hollywood,RS FR/TR
Reserves,Special Teams,North Carolina State Wolfpack,1st String,,,,
RES,Special Teams,North Carolina State Wolfpack,1st String,,,,
INJ,Special Teams,North Carolina State Wolfpack,1st String,12,Boykin,Devan,GR
WR-X,Offense,North Carolina State Wolfpack,2nd String,80,Anderson,Terrell,FR
WR-Z,Offense,North Carolina State Wolfpack,2nd String,6,Grimes,Wesley,JR/TR
WR-SL,Offense,North Carolina State Wolfpack,2nd String,21,Coit,Jalen,GR
LT,Offense,North Carolina State Wolfpack,2nd String,64,Jackson,Rico,RS FR
LG,Offense,North Carolina State Wolfpack,2nd String,69,Jaramillo,Dawson,GR/TR
C,Offense,North Carolina State Wolfpack,2nd String,55,Vann,Rylan,RS SO
RG,Offense,North Carolina State Wolfpack,2nd String,54,Erickson,Val,RS SO/TR
RT,Offense,North Carolina State Wolfpack,2nd String,76,Matan,Patrick,GR
TE-H,Offense,North Carolina State Wolfpack,2nd String,87,Daniels,Dante,RS JR/TR
TE-Y,Offense,North Carolina State Wolfpack,2nd String,11,Vereen,Juice,SO
QB,Offense,North Carolina State Wolfpack,2nd String,16,Bailey,CJ,FR
RB,Offense,North Carolina State Wolfpack,2nd String,0,Raphael,Kendrick,SO
LDE,Defense,North Carolina State Wolfpack,2nd String,97,Potter,Noah,GR/TR
NT,Defense,North Carolina State Wolfpack,2nd String,99,Jackson,DJ,RS SO
RDE,Defense,North Carolina State Wolfpack,2nd String,4,Hibbler,Red,SR/TR
WLB,Defense,North Carolina State Wolfpack,2nd String,36,McBride,Kelvon,RS FR
MLB,Defense,North Carolina State Wolfpack,2nd String,27,Parker,Jayland,RS JR
SLB,Defense,North Carolina State Wolfpack,2nd String,34,Bonner,Kamal,RS FR
LCB,Defense,North Carolina State Wolfpack,2nd String,6,Coley,Corey,SR/TR
SS,Defense,North Carolina State Wolfpack,2nd String,19,Martin,KJ,GR/TR
FS,Defense,North Carolina State Wolfpack,2nd String,14,Hinton,Renté,RS JR/TR
RCB,Defense,North Carolina State Wolfpack,2nd String,16,Marshall,Devon,JR/TR
NB,Defense,North Carolina State Wolfpack,2nd String,15,Cooley,Tamarcus,RS FR/TR
PT,Special Teams,North Carolina State Wolfpack,2nd String,96,Fehr,Owen,RS FR
PK,Special Teams,North Carolina State Wolfpack,2nd String,90,Smith,Collin,GR
KO,Special Teams,North Carolina State Wolfpack,2nd String,94,Vinesett,Kanoah,RS SO
LS,Special Teams,North Carolina State Wolfpack,2nd String,95,Mann,Jake,RS JR/TR
H,Special Teams,North Carolina State Wolfpack,2nd String,96,Fehr,Owen,RS FR
PR,Special Teams,North Carolina State Wolfpack,2nd String,10,Concepcion,Kevin,SO
KR,Special Teams,North Carolina State Wolfpack,2nd String,5,Rogers,Noah,RS FR/TR
Reserves,Special Teams,North Carolina State Wolfpack,2nd String,,,,
RES,Special Teams,North Carolina State Wolfpack,2nd String,,,,
INJ,Special Teams,North Carolina State Wolfpack,2nd String,,,,
WR-X,Offense,North Carolina State Wolfpack,3rd String,84,Baldwin,Jakolbe,GR
WR-Z,Offense,North Carolina State Wolfpack,3rd String,82,Jackson,Keenan,FR
WR-SL,Offense,North Carolina State Wolfpack,3rd String,14,Paylor,Jonathan,FR
LT,Offense,North Carolina State Wolfpack,3rd String,73,Rivers,Darion,RS FR
LG,Offense,North Carolina State Wolfpack,3rd String,79,Smith,Kamen,RS FR
C,Offense,North Carolina State Wolfpack,3rd String,,,,
RG,Offense,North Carolina State Wolfpack,3rd String,,,,
RT,Offense,North Carolina State Wolfpack,3rd String,,,,
TE-H,Offense,North Carolina State Wolfpack,3rd String,49,Mitchell,Reid,RS JR
TE-Y,Offense,North Carolina State Wolfpack,3rd String,,,,
QB,Offense,North Carolina State Wolfpack,3rd String,12,Thomas,Lex,RS FR
RB,Offense,North Carolina State Wolfpack,3rd String,20,Smothers,Hollywood,RS FR/TR
LDE,Defense,North Carolina State Wolfpack,3rd String,,,,
NT,Defense,North Carolina State Wolfpack,3rd String,52,Wallace,Chazz,SR/TR
RDE,Defense,North Carolina State Wolfpack,3rd String,88,Shirley,Isaiah,RS FR
WLB,Defense,North Carolina State Wolfpack,3rd String,,,,
MLB,Defense,North Carolina State Wolfpack,3rd String,,,,
SLB,Defense,North Carolina State Wolfpack,3rd String,,,,
LCB,Defense,North Carolina State Wolfpack,3rd String,,,,
SS,Defense,North Carolina State Wolfpack,3rd String,,,,
FS,Defense,North Carolina State Wolfpack,3rd String,,,,
RCB,Defense,North Carolina State Wolfpack,3rd String,22,Vick,Jackson,RS SO
NB,Defense,North Carolina State Wolfpack,3rd String,,,,
PT,Special Teams,North Carolina State Wolfpack,3rd String,,,,
PK,Special Teams,North Carolina State Wolfpack,3rd String,,,,
KO,Special Teams,North Carolina State Wolfpack,3rd String,,,,
LS,Special Teams,North Carolina State Wolfpack,3rd String,,,,
H,Special Teams,North Carolina State Wolfpack,3rd String,,,,
PR,Special Teams,North Carolina State Wolfpack,3rd String,,,,
KR,Special Teams,North Carolina State Wolfpack,3rd String,,,,
Reserves,Special Teams,North Carolina State Wolfpack,3rd String,,,,
RES,Special Teams,North Carolina State Wolfpack,3rd String,,,,
INJ,Special Teams,North Carolina State Wolfpack,3rd String,,,,
WR-X,Offense,North Carolina State Wolfpack,4th String,,,,
WR-Z,Offense,North Carolina State Wolfpack,4th String,,,,
WR-SL,Offense,North Carolina State Wolfpack,4th String,,,,
LT,Offense,North Carolina State Wolfpack,4th String,,,,
LG,Offense,North Carolina State Wolfpack,4th String,,,,
C,Offense,North Carolina State Wolfpack,4th String,,,,
RG,Offense,North Carolina State Wolfpack,4th String,,,,
RT,Offense,North Carolina State Wolfpack,4th String,,,,
TE-H,Offense,North Carolina State Wolfpack,4th String,,,,
TE-Y,Offense,North Carolina State Wolfpack,4th String,,,,
QB,Offense,North Carolina State Wolfpack,4th String,,,,
RB,Offense,North Carolina State Wolfpack,4th String,24,Scott,Jayden,FR
LDE,Defense,North Carolina State Wolfpack,4th String,,,,
NT,Defense,North Carolina State Wolfpack,4th String,,,,
RDE,Defense,North Carolina State Wolfpack,4th String,,,,
WLB,Defense,North Carolina State Wolfpack,4th String,,,,
MLB,Defense,North Carolina State Wolfpack,4th String,,,,
SLB,Defense,North Carolina State Wolfpack,4th String,,,,
LCB,Defense,North Carolina State Wolfpack,4th String,,,,
SS,Defense,North Carolina State Wolfpack,4th String,,,,
FS,Defense,North Carolina State Wolfpack,4th String,,,,
RCB,Defense,North Carolina State Wolfpack,4th String,,,,
NB,Defense,North Carolina State Wolfpack,4th String,,,,
PT,Special Teams,North Carolina State Wolfpack,4th String,,,,
PK,Special Teams,North Carolina State Wolfpack,4th String,,,,
KO,Special Teams,North Carolina State Wolfpack,4th String,,,,
LS,Special Teams,North Carolina State Wolfpack,4th String,,,,
H,Special Teams,North Carolina State Wolfpack,4th String,,,,
PR,Special Teams,North Carolina State Wolfpack,4th String,,,,
KR,Special Teams,North Carolina State Wolfpack,4th String,,,,
Reserves,Special Teams,North Carolina State Wolfpack,4th String,,,,
RES,Special Teams,North Carolina State Wolfpack,4th String,,,,
INJ,Special Teams,North Carolina State Wolfpack,4th String,,,,
WR-X,Offense,North Carolina State Wolfpack,5th String,,,,
WR-Z,Offense,North Carolina State Wolfpack,5th String,,,,
WR-SL,Offense,North Carolina State Wolfpack,5th String,,,,
LT,Offense,North Carolina State Wolfpack,5th String,,,,
LG,Offense,North Carolina State Wolfpack,5th String,,,,
C,Offense,North Carolina State Wolfpack,5th String,,,,
RG,Offense,North Carolina State Wolfpack,5th String,,,,
RT,Offense,North Carolina State Wolfpack,5th String,,,,
TE-H,Offense,North Carolina State Wolfpack,5th String,,,,
TE-Y,Offense,North Carolina State Wolfpack,5th String,,,,
QB,Offense,North Carolina State Wolfpack,5th String,,,,
RB,Offense,North Carolina State Wolfpack,5th String,,,,
LDE,Defense,North Carolina State Wolfpack,5th String,,,,
NT,Defense,North Carolina State Wolfpack,5th String,,,,
RDE,Defense,North Carolina State Wolfpack,5th String,,,,
WLB,Defense,North Carolina State Wolfpack,5th String,,,,
MLB,Defense,North Carolina State Wolfpack,5th String,,,,
SLB,Defense,North Carolina State Wolfpack,5th String,,,,
LCB,Defense,North Carolina State Wolfpack,5th String,,,,
SS,Defense,North Carolina State Wolfpack,5th String,,,,
FS,Defense,North Carolina State Wolfpack,5th String,,,,
RCB,Defense,North Carolina State Wolfpack,5th String,,,,
NB,Defense,North Carolina State Wolfpack,5th String,,,,
PT,Special Teams,North Carolina State Wolfpack,5th String,,,,
PK,Special Teams,North Carolina State Wolfpack,5th String,,,,
KO,Special Teams,North Carolina State Wolfpack,5th String,,,,
LS,Special Teams,North Carolina State Wolfpack,5th String,,,,
H,Special Teams,North Carolina State Wolfpack,5th String,,,,
PR,Special Teams,North Carolina State Wolfpack,5th String,,,,
KR,Special Teams,North Carolina State Wolfpack,5th String,,,,
Reserves,Special Teams,North Carolina State Wolfpack,5th String,,,,
RES,Special Teams,North Carolina State Wolfpack,5th String,,,,
INJ,Special Teams,North Carolina State Wolfpack,5th String,,,,
WR-X,Offense,Pittsburgh Panthers,1st String,2,Johnson,Kenny,SO
WR-Z,Offense,Pittsburgh Panthers,1st String,9,Mumpfield,Konata,SR/TR
WR-SL,Offense,Pittsburgh Panthers,1st String,5,Williams,"Jr.,",Raphael RS JR/TR
LT,Offense,Pittsburgh Panthers,1st String,78,Taylor,Branson,RS SR
LG,Offense,Pittsburgh Panthers,1st String,61,Jacoby,Ryan,RS SR/TR
C,Offense,Pittsburgh Panthers,1st String,56,Cooper,Lyndon,RS JR/TR
RG,Offense,Pittsburgh Panthers,1st String,55,Williams,BJ,SO
RT,Offense,Pittsburgh Panthers,1st String,70,Baer,Ryan,RS SO
TE,Offense,Pittsburgh Panthers,1st String,86,Bartholomew,Gavin,SR
QB,Offense,Pittsburgh Panthers,1st String,10,Holstein,Eli,RS FR/TR
RB,Offense,Pittsburgh Panthers,1st String,0,Reid,Desmond,JR/TR
LDE,Defense,Pittsburgh Panthers,1st String,2,Matlack,Nate,RS SR/TR
LDT,Defense,Pittsburgh Panthers,1st String,4,Johnson,Nahki,RS JR
RDT,Defense,Pittsburgh Panthers,1st String,11,James,Nick,RS SO/TR
RDE,Defense,Pittsburgh Panthers,1st String,44,Scott,Jimmy,RS SO
MONEY,Defense,Pittsburgh Panthers,1st String,0,Lovelace,Braylan,SO
MIKE,Defense,Pittsburgh Panthers,1st String,30,George,Brandon,RS SR
STAR,Defense,Pittsburgh Panthers,1st String,9,Louis,Kyle,RS SO
LCB,Defense,Pittsburgh Panthers,1st String,10,Gandy,Ryland,RS SO
SS,Defense,Pittsburgh Panthers,1st String,3,McMillon,Donovan,SR/TR
FS,Defense,Pittsburgh Panthers,1st String,7,McIntyre,Javon,RS JR
RCB,Defense,Pittsburgh Panthers,1st String,15,Battle,Rashad,RS SR
PT,Special Teams,Pittsburgh Panthers,1st String,91,Junko,Caleb,RS JR
PK,Special Teams,Pittsburgh Panthers,1st String,90,Sauls,Ben,RS SR
KO,Special Teams,Pittsburgh Panthers,1st String,90,Sauls,Ben,RS SR
LS,Special Teams,Pittsburgh Panthers,1st String,47,Upadhyayula,Nilay,RS JR/TR
H,Special Teams,Pittsburgh Panthers,1st String,92,Guess,Cam,RS SR
PR,Special Teams,Pittsburgh Panthers,1st String,0,Reid,Desmond,JR/TR
KR,Special Teams,Pittsburgh Panthers,1st String,2,Johnson,Kenny,SO
Reserves,Special Teams,Pittsburgh Panthers,1st String,,,,
RES,Special Teams,Pittsburgh Panthers,1st String,,,,
INJ,Special Teams,Pittsburgh Panthers,1st String,6,Temple,Nate,RS SR
WR-X,Offense,Pittsburgh Panthers,2nd String,11,Lee,Censere,JR/TR
WR-Z,Offense,Pittsburgh Panthers,2nd String,3,Reynolds,Daejon,RS JR/TR
WR-SL,Offense,Pittsburgh Panthers,2nd String,83,Seymore,Lamar,RS FR
LT,Offense,Pittsburgh Panthers,2nd String,74,Enos,"Jr.,",Terrence RS JR
LG,Offense,Pittsburgh Panthers,2nd String,50,Collier,"Jr.,",Jason RS SR
C,Offense,Pittsburgh Panthers,2nd String,58,Moore,Terrence,RS JR
RG,Offense,Pittsburgh Panthers,2nd String,71,Carretta,Ryan,RS FR
RT,Offense,Pittsburgh Panthers,2nd String,72,Montgomery,Isaiah,RS SO
TE,Offense,Pittsburgh Panthers,2nd String,87,Overman,Jake,RS SR/TR
QB,Offense,Pittsburgh Panthers,2nd String,19,Yarnell,Nate,RS JR
RB,Offense,Pittsburgh Panthers,2nd String,34,Davis,"Jr.,",Derrick RS JR/TR
LDE,Defense,Pittsburgh Panthers,2nd String,90,Edwards,Sincere,FR
LDT,Defense,Pittsburgh Panthers,2nd String,95,Brewu,Francis,FR
RDT,Defense,Pittsburgh Panthers,2nd String,97,Neal,Isaiah,RS FR
RDE,Defense,Pittsburgh Panthers,2nd String,14,Borders,Chief,RS JR/TR
MONEY,Defense,Pittsburgh Panthers,2nd String,31,Biles,Rasheem,SO
MIKE,Defense,Pittsburgh Panthers,2nd String,38,Thompson,Keye,RS SR/TR
STAR,Defense,Pittsburgh Panthers,2nd String,20,Bass,Jordan,SO
LCB,Defense,Pittsburgh Panthers,2nd String,8,Lynum,Tamon,RS SR/TR
SS,Defense,Pittsburgh Panthers,2nd String,12,Brookins,Cruce,RS FR
FS,Defense,Pittsburgh Panthers,2nd String,5,O'Brien,"Jr.,",Phillip SR
RCB,Defense,Pittsburgh Panthers,2nd String,28,Biglow,Noah,RS JR
PT,Special Teams,Pittsburgh Panthers,2nd String,92,Guess,Cam,RS SR
PK,Special Teams,Pittsburgh Panthers,2nd String,94,Carpenter,Sam,RS FR
KO,Special Teams,Pittsburgh Panthers,2nd String,94,Carpenter,Sam,RS FR
LS,Special Teams,Pittsburgh Panthers,2nd String,48,Crawford,Nico,RS SO/TR
H,Special Teams,Pittsburgh Panthers,2nd String,91,Junko,Caleb,RS JR
PR,Special Teams,Pittsburgh Panthers,2nd String,9,Mumpfield,Konata,SR/TR
KR,Special Teams,Pittsburgh Panthers,2nd String,0,Reid,Desmond,JR/TR
Reserves,Special Teams,Pittsburgh Panthers,2nd String,,,,
RES,Special Teams,Pittsburgh Panthers,2nd String,,,,
INJ,Special Teams,Pittsburgh Panthers,2nd String,,,,
WR-X,Offense,Pittsburgh Panthers,3rd String,,,,
WR-Z,Offense,Pittsburgh Panthers,3rd String,,,,
WR-SL,Offense,Pittsburgh Panthers,3rd String,,,,
LT,Offense,Pittsburgh Panthers,3rd String,,,,
LG,Offense,Pittsburgh Panthers,3rd String,,,,
C,Offense,Pittsburgh Panthers,3rd String,,,,
RG,Offense,Pittsburgh Panthers,3rd String,,,,
RT,Offense,Pittsburgh Panthers,3rd String,,,,
TE,Offense,Pittsburgh Panthers,3rd String,82,Thomas,Malachi,FR
QB,Offense,Pittsburgh Panthers,3rd String,14,Dieffenbach,Ty,RS FR
RB,Offense,Pittsburgh Panthers,3rd String,4,Carter,Daniel,RS SR
LDE,Defense,Pittsburgh Panthers,3rd String,39,Gracio,Maverick,RS FR
LDT,Defense,Pittsburgh Panthers,3rd String,50,Johnson,Anthony,RS SR/TR
RDT,Defense,Pittsburgh Panthers,3rd String,94,Donald,Elliot,RS JR
RDE,Defense,Pittsburgh Panthers,3rd String,17,Ojiegbe,David,RS FR/TR
MONEY,Defense,Pittsburgh Panthers,3rd String,,,,
MIKE,Defense,Pittsburgh Panthers,3rd String,,,,
STAR,Defense,Pittsburgh Panthers,3rd String,,,,
LCB,Defense,Pittsburgh Panthers,3rd String,,,,
SS,Defense,Pittsburgh Panthers,3rd String,,,,
FS,Defense,Pittsburgh Panthers,3rd String,,,,
RCB,Defense,Pittsburgh Panthers,3rd String,18,Crumpley,Tamarion,RS JR
PT,Special Teams,Pittsburgh Panthers,3rd String,,,,
PK,Special Teams,Pittsburgh Panthers,3rd String,,,,
KO,Special Teams,Pittsburgh Panthers,3rd String,,,,
LS,Special Teams,Pittsburgh Panthers,3rd String,,,,
H,Special Teams,Pittsburgh Panthers,3rd String,,,,
PR,Special Teams,Pittsburgh Panthers,3rd String,,,,
KR,Special Teams,Pittsburgh Panthers,3rd String,,,,
Reserves,Special Teams,Pittsburgh Panthers,3rd String,,,,
RES,Special Teams,Pittsburgh Panthers,3rd String,,,,
INJ,Special Teams,Pittsburgh Panthers,3rd String,,,,
WR-X,Offense,Pittsburgh Panthers,4th String,,,,
WR-Z,Offense,Pittsburgh Panthers,4th String,,,,
WR-SL,Offense,Pittsburgh Panthers,4th String,,,,
LT,Offense,Pittsburgh Panthers,4th String,,,,
LG,Offense,Pittsburgh Panthers,4th String,,,,
C,Offense,Pittsburgh Panthers,4th String,,,,
RG,Offense,Pittsburgh Panthers,4th String,,,,
RT,Offense,Pittsburgh Panthers,4th String,,,,
TE,Offense,Pittsburgh Panthers,4th String,,,,
QB,Offense,Pittsburgh Panthers,4th String,,,,
RB,Offense,Pittsburgh Panthers,4th String,,,,
LDE,Defense,Pittsburgh Panthers,4th String,,,,
LDT,Defense,Pittsburgh Panthers,4th String,,,,
RDT,Defense,Pittsburgh Panthers,4th String,,,,
RDE,Defense,Pittsburgh Panthers,4th String,,,,
MONEY,Defense,Pittsburgh Panthers,4th String,,,,
MIKE,Defense,Pittsburgh Panthers,4th String,,,,
STAR,Defense,Pittsburgh Panthers,4th String,,,,
LCB,Defense,Pittsburgh Panthers,4th String,,,,
SS,Defense,Pittsburgh Panthers,4th String,,,,
FS,Defense,Pittsburgh Panthers,4th String,,,,
RCB,Defense,Pittsburgh Panthers,4th String,,,,
PT,Special Teams,Pittsburgh Panthers,4th String,,,,
PK,Special Teams,Pittsburgh Panthers,4th String,,,,
KO,Special Teams,Pittsburgh Panthers,4th String,,,,
LS,Special Teams,Pittsburgh Panthers,4th String,,,,
H,Special Teams,Pittsburgh Panthers,4th String,,,,
PR,Special Teams,Pittsburgh Panthers,4th String,,,,
KR,Special Teams,Pittsburgh Panthers,4th String,,,,
Reserves,Special Teams,Pittsburgh Panthers,4th String,,,,
RES,Special Teams,Pittsburgh Panthers,4th String,,,,
INJ,Special Teams,Pittsburgh Panthers,4th String,,,,
WR-X,Offense,Pittsburgh Panthers,5th String,,,,
WR-Z,Offense,Pittsburgh Panthers,5th String,,,,
WR-SL,Offense,Pittsburgh Panthers,5th String,,,,
LT,Offense,Pittsburgh Panthers,5th String,,,,
LG,Offense,Pittsburgh Panthers,5th String,,,,
C,Offense,Pittsburgh Panthers,5th String,,,,
RG,Offense,Pittsburgh Panthers,5th String,,,,
RT,Offense,Pittsburgh Panthers,5th String,,,,
TE,Offense,Pittsburgh Panthers,5th String,,,,
QB,Offense,Pittsburgh Panthers,5th String,,,,
RB,Offense,Pittsburgh Panthers,5th String,,,,
LDE,Defense,Pittsburgh Panthers,5th String,,,,
LDT,Defense,Pittsburgh Panthers,5th String,,,,
RDT,Defense,Pittsburgh Panthers,5th String,,,,
RDE,Defense,Pittsburgh Panthers,5th String,,,,
MONEY,Defense,Pittsburgh Panthers,5th String,,,,
MIKE,Defense,Pittsburgh Panthers,5th String,,,,
STAR,Defense,Pittsburgh Panthers,5th String,,,,
LCB,Defense,Pittsburgh Panthers,5th String,,,,
SS,Defense,Pittsburgh Panthers,5th String,,,,
FS,Defense,Pittsburgh Panthers,5th String,,,,
RCB,Defense,Pittsburgh Panthers,5th String,,,,
PT,Special Teams,Pittsburgh Panthers,5th String,,,,
PK,Special Teams,Pittsburgh Panthers,5th String,,,,
KO,Special Teams,Pittsburgh Panthers,5th String,,,,
LS,Special Teams,Pittsburgh Panthers,5th String,,,,
H,Special Teams,Pittsburgh Panthers,5th String,,,,
PR,Special Teams,Pittsburgh Panthers,5th String,,,,
KR,Special Teams,Pittsburgh Panthers,5th String,,,,
Reserves,Special Teams,Pittsburgh Panthers,5th String,,,,
RES,Special Teams,Pittsburgh Panthers,5th String,,,,
INJ,Special Teams,Pittsburgh Panthers,5th String,,,,
WR-X,Offense,SMU Mustangs,1st String,9,Smith,Key'Shawn,SR/TR
WR-Z,Offense,SMU Mustangs,1st String,3,Brinson,Romello,SR/TR
WR-SL,Offense,SMU Mustangs,1st String,12,Bailey,Jake,GR/TR
LT,Offense,SMU Mustangs,1st String,59,Williams,PJ,RS SO/TR
LG,Offense,SMU Mustangs,1st String,54,Byrd,Savion,RS JR/TR
C,Offense,SMU Mustangs,1st String,53,Clark,Jakai,GR/TR
RG,Offense,SMU Mustangs,1st String,71,Parr,Logan,GR/TR
RT,Offense,SMU Mustangs,1st String,69,Anderson,Nate,RS JR/TR
TE,Offense,SMU Mustangs,1st String,82,Maryland,RJ,JR
QB,Offense,SMU Mustangs,1st String,2,Stone,Preston,RS JR
RB,Offense,SMU Mustangs,1st String,1,Smith,Brashard,SR/TR
DE,Defense,SMU Mustangs,1st String,5,Roberts,Elijah,SR/TR
NT,Defense,SMU Mustangs,1st String,10,Booker,"Jr.,",Anthony GR/TR
DT,Defense,SMU Mustangs,1st String,81,Harrison-Hunte,Jared,RS SR/TR
BAN,Defense,SMU Mustangs,1st String,6,Harvey,Jahfari,SR/TR
MLB,Defense,SMU Mustangs,1st String,24,Wilson,Kobe,GR/TR
WLB,Defense,SMU Mustangs,1st String,34,Walker,Ahmad,SR/TR
LCB,Defense,SMU Mustangs,1st String,1,Crossley,Brandon,GR/TR
SS,Defense,SMU Mustangs,1st String,23,Nwokobia,Isaiah,RS JR
FS,Defense,SMU Mustangs,1st String,2,McGill,Jonathan,GR/TR
RCB,Defense,SMU Mustangs,1st String,13,Davis-Robinson,Jaelyn,RS SO/TR
NB,Defense,SMU Mustangs,1st String,22,Sanders,"Jr.,",Cale SR/TR
PT,Special Teams,SMU Mustangs,1st String,49,Pearson,Isaac,GR/TR
PK,Special Teams,SMU Mustangs,1st String,41,Rogers,Collin,JR
KO,Special Teams,SMU Mustangs,1st String,41,Rogers,Collin,JR
LS,Special Teams,SMU Mustangs,1st String,48,Benton,"IV,",Will GR
H,Special Teams,SMU Mustangs,1st String,49,Pearson,Isaac,GR/TR
PR,Special Teams,SMU Mustangs,1st String,13,Daniels,"Jr.,",Roderick SR
KR,Special Teams,SMU Mustangs,1st String,1,Smith,Brashard,SR/TR
Reserves,Special Teams,SMU Mustangs,1st String,,,,
RES,Special Teams,SMU Mustangs,1st String,,,,
INJ,Special Teams,SMU Mustangs,1st String,0,Wheaton,Camar,RS JR/TR
WR-X,Offense,SMU Mustangs,2nd String,5,Dixon,Moochie,SR/TR
WR-Z,Offense,SMU Mustangs,2nd String,8,Hudson,Jordan,JR/TR
WR-SL,Offense,SMU Mustangs,2nd String,13,Daniels,"Jr.,",Roderick SR
LT,Offense,SMU Mustangs,2nd String,65,Laphen,Jack,RS SO
LG,Offense,SMU Mustangs,2nd String,69,Anderson,Nate,RS JR/TR
C,Offense,SMU Mustangs,2nd String,51,Osborne,Justin,GR/TR
RG,Offense,SMU Mustangs,2nd String,75,Sparks,Ben,SR
RT,Offense,SMU Mustangs,2nd String,72,Johnson,Caleb,RS JR/TR
TE,Offense,SMU Mustangs,2nd String,88,Hibner,Matthew,GR/TR
QB,Offense,SMU Mustangs,2nd String,7,Jennings,Kevin,RS SO
RB,Offense,SMU Mustangs,2nd String,11,Johnson,"Jr.,",LJ RS JR/TR
DE,Defense,SMU Mustangs,2nd String,15,Robertson,Cameron,JR/TR
NT,Defense,SMU Mustangs,2nd String,9,Lockhart,Mike,GR/TR
DT,Defense,SMU Mustangs,2nd String,94,Jefferson,Jonathan,GR/TR
BAN,Defense,SMU Mustangs,2nd String,58,Smith,Isaiah,JR
MLB,Defense,SMU Mustangs,2nd String,54,Kilgore,Alexander,SO
WLB,Defense,SMU Mustangs,2nd String,29,Miyazono,Brandon,SO
LCB,Defense,SMU Mustangs,2nd String,4,Rogers,Jahari,SR/TR
SS,Defense,SMU Mustangs,2nd String,3,Moses,Ahmaad,JR
FS,Defense,SMU Mustangs,2nd String,3,Moses,Ahmaad,JR
RCB,Defense,SMU Mustangs,2nd String,14,Davis,AJ,RS SO
NB,Defense,SMU Mustangs,2nd String,2,McGill,Jonathan,GR/TR
PT,Special Teams,SMU Mustangs,2nd String,96,Waller,Jackson,FR
PK,Special Teams,SMU Mustangs,2nd String,97,Lozano,Gabriel,GR/TR
KO,Special Teams,SMU Mustangs,2nd String,97,Lozano,Gabriel,GR/TR
LS,Special Teams,SMU Mustangs,2nd String,56,O'Quinn,Brock,RS FR/TR
H,Special Teams,SMU Mustangs,2nd String,96,Waller,Jackson,FR
PR,Special Teams,SMU Mustangs,2nd String,12,Bailey,Jake,GR/TR
KR,Special Teams,SMU Mustangs,2nd String,9,Smith,Key'Shawn,SR/TR
Reserves,Special Teams,SMU Mustangs,2nd String,,,,
RES,Special Teams,SMU Mustangs,2nd String,,,,
INJ,Special Teams,SMU Mustangs,2nd String,74,Chamblee,Andrew,RS SO/TR
WR-X,Offense,SMU Mustangs,3rd String,,,,
WR-Z,Offense,SMU Mustangs,3rd String,,,,
WR-SL,Offense,SMU Mustangs,3rd String,,,,
LT,Offense,SMU Mustangs,3rd String,,,,
LG,Offense,SMU Mustangs,3rd String,,,,
C,Offense,SMU Mustangs,3rd String,,,,
RG,Offense,SMU Mustangs,3rd String,,,,
RT,Offense,SMU Mustangs,3rd String,,,,
TE,Offense,SMU Mustangs,3rd String,85,Moore,Adam,SO
QB,Offense,SMU Mustangs,3rd String,6,Luster,Keldric,RS FR
RB,Offense,SMU Mustangs,3rd String,4,Knighton,Jaylan,SR/TR
DE,Defense,SMU Mustangs,3rd String,,,,
NT,Defense,SMU Mustangs,3rd String,,,,
DT,Defense,SMU Mustangs,3rd String,92,Roberson,"Jr.,",Kori GR/TR
BAN,Defense,SMU Mustangs,3rd String,32,Walton,"III,",Billy RS FR/TR
MLB,Defense,SMU Mustangs,3rd String,,,,
WLB,Defense,SMU Mustangs,3rd String,,,,
LCB,Defense,SMU Mustangs,3rd String,0,Nettles,William,FR
SS,Defense,SMU Mustangs,3rd String,,,,
FS,Defense,SMU Mustangs,3rd String,,,,
RCB,Defense,SMU Mustangs,3rd String,7,Harmon,Deuce,RS JR/TR
NB,Defense,SMU Mustangs,3rd String,11,Milliner-Jones,Jaden,SO/TR
PT,Special Teams,SMU Mustangs,3rd String,,,,
PK,Special Teams,SMU Mustangs,3rd String,,,,
KO,Special Teams,SMU Mustangs,3rd String,,,,
